carat;depth;table;price;quality
0.24;61.5;60.0;553;Very Good
0.3;63.1;56.0;554;Very Good
0.3;62.9;59.0;554;Premium
0.3;62.5;57.0;554;Premium
0.3;63.7;57.0;554;Good
0.26;59.2;60.0;554;Very Good
0.26;59.9;58.0;554;Very Good
0.26;62.4;54.0;554;Very Good
0.26;62.8;60.0;554;Very Good
0.26;62.6;59.0;554;Very Good
0.26;63.4;59.0;554;Very Good
0.26;62.1;60.0;554;Very Good
0.26;62.9;58.0;554;Ideal
0.38;61.6;56.0;554;Ideal
0.26;57.9;60.0;554;Good
0.24;62.3;59.0;554;Premium
0.24;61.2;58.0;554;Premium
0.24;60.8;59.0;554;Premium
0.24;60.7;58.0;554;Premium
0.32;62.9;58.0;554;Premium
0.7;62.5;57.0;2757;Ideal
0.86;55.1;69.0;2757;Fair
0.7;61.6;56.0;2757;Ideal
0.71;62.4;57.0;2759;Very Good
0.78;63.8;56.0;2759;Very Good
0.7;57.5;58.0;2759;Good
0.7;59.4;62.0;2759;Good
0.96;66.3;62.0;2759;Fair
0.73;61.6;59.0;2760;Very Good
0.8;61.5;58.0;2760;Premium
0.75;63.2;56.0;2760;Very Good
0.75;59.9;54.0;2760;Premium
0.74;61.6;55.0;2760;Ideal
0.75;61.7;58.0;2760;Premium
0.8;62.9;56.0;2760;Ideal
0.75;62.2;55.0;2760;Ideal
0.8;63.0;59.0;2760;Premium
0.74;62.3;55.0;2761;Ideal
0.81;58.8;57.0;2761;Ideal
0.59;62.0;55.0;2761;Ideal
0.8;61.4;57.0;2761;Ideal
0.74;62.2;56.0;2761;Ideal
0.9;63.0;58.0;2761;Premium
0.74;62.2;59.0;2762;Very Good
0.73;62.6;56.0;2762;Ideal
0.73;62.7;53.0;2762;Ideal
0.8;61.7;58.0;2762;Premium
0.71;62.4;54.0;2762;Ideal
0.7;60.7;58.0;2762;Ideal
0.8;59.9;59.0;2762;Ideal
0.71;62.3;56.0;2762;Ideal
0.74;62.3;54.0;2762;Ideal
0.7;61.7;63.0;2762;Very Good
0.7;64.5;57.0;2762;Fair
0.7;65.3;55.0;2762;Fair
0.7;61.6;60.0;2762;Premium
0.91;61.4;56.0;2763;Premium
0.61;59.6;57.0;2763;Very Good
0.91;64.4;57.0;2763;Fair
0.91;65.7;60.0;2763;Fair
0.77;62.0;56.0;2763;Ideal
0.71;63.6;58.0;2764;Very Good
0.71;61.9;59.0;2764;Ideal
0.7;62.6;60.0;2765;Very Good
0.77;61.3;60.0;2765;Very Good
0.63;60.9;60.0;2765;Premium
0.71;60.1;62.0;2765;Very Good
0.71;61.8;59.0;2765;Premium
0.76;61.2;57.0;2765;Ideal
0.64;61.9;56.0;2766;Ideal
0.71;60.9;57.0;2766;Premium
0.71;59.8;56.0;2766;Premium
0.7;61.8;55.0;2767;Very Good
0.7;60.0;57.0;2767;Very Good
0.71;61.6;55.0;2767;Ideal
0.7;62.1;64.0;2767;Good
0.71;63.3;59.0;2768;Very Good
0.73;60.2;56.0;2768;Very Good
0.7;61.1;58.0;2768;Very Good
0.7;60.9;57.0;2768;Ideal
0.71;61.7;59.0;2768;Premium
0.74;61.3;56.0;2769;Ideal
0.71;62.5;60.0;2770;Premium
0.73;61.4;59.0;2770;Premium
0.76;62.9;57.0;2770;Very Good
0.76;62.4;57.0;2770;Ideal
0.71;60.7;56.0;2770;Ideal
0.73;60.7;58.0;2770;Premium
0.73;61.5;58.0;2770;Premium
0.73;59.9;57.0;2770;Ideal
0.73;59.2;59.0;2770;Premium
0.72;60.3;56.0;2771;Very Good
0.73;61.7;60.0;2771;Very Good
0.71;61.9;57.0;2771;Ideal
0.79;61.9;55.0;2771;Ideal
0.73;60.4;59.0;2772;Very Good
0.8;61.0;57.0;2772;Very Good
0.58;61.5;55.0;2772;Ideal
0.58;61.7;56.0;2772;Ideal
0.71;59.2;61.0;2772;Good
0.75;61.3;56.0;2773;Ideal
0.7;58.0;62.0;2773;Premium
1.17;60.2;61.0;2774;Very Good
0.6;61.7;55.0;2774;Ideal
0.7;62.7;55.0;2774;Ideal
0.83;64.6;54.0;2774;Good
0.74;61.3;61.0;2775;Very Good
0.72;63.7;56.4;2776;Very Good
0.71;62.7;58.0;2776;Premium
0.71;62.2;57.0;2776;Ideal
0.54;61.6;56.0;2776;Ideal
0.54;61.5;57.0;2776;Ideal
0.72;61.8;56.0;2776;Ideal
0.72;60.7;56.0;2776;Ideal
0.72;59.7;60.5;2776;Good
0.71;60.5;56.0;2776;Ideal
0.7;62.7;58.0;2777;Very Good
0.71;62.1;58.0;2777;Premium
0.71;62.8;57.0;2777;Very Good
0.71;63.8;58.0;2777;Good
0.71;57.8;60.0;2777;Good
0.7;62.1;55.0;2777;Ideal
0.7;61.1;60.0;2777;Premium
0.7;60.0;59.0;2777;Premium
0.7;61.2;57.0;2777;Premium
0.7;62.7;59.0;2777;Premium
0.7;61.0;57.0;2777;Premium
0.7;61.0;58.0;2777;Premium
0.7;61.4;57.0;2777;Ideal
0.72;61.8;61.0;2777;Premium
0.7;59.9;63.0;2777;Very Good
0.7;61.3;58.0;2777;Premium
0.7;60.5;58.0;2777;Premium
0.7;64.1;59.0;2777;Good
0.98;67.9;60.0;2777;Fair
0.78;62.4;58.0;2777;Premium
0.7;63.2;60.0;2777;Very Good
0.52;61.3;55.0;2778;Ideal
0.73;60.8;56.0;2779;Very Good
0.74;61.7;56.0;2779;Ideal
0.7;63.6;57.0;2780;Very Good
0.77;61.2;58.0;2780;Premium
0.71;62.1;54.0;2780;Ideal
0.74;61.5;55.0;2780;Ideal
0.7;61.4;59.0;2780;Ideal
1.01;61.8;60.0;2781;Premium
0.77;62.2;56.0;2781;Ideal
0.78;61.2;56.0;2781;Ideal
0.72;60.6;63.0;2782;Very Good
0.53;57.5;64.0;2782;Very Good
0.76;61.3;56.0;2782;Ideal
0.7;57.2;62.0;2782;Good
0.7;62.9;60.0;2782;Premium
0.75;63.1;58.0;2782;Very Good
0.72;60.8;57.0;2782;Ideal
0.72;62.7;59.0;2782;Premium
0.7;62.8;60.0;2782;Premium
0.84;55.1;67.0;2782;Fair
0.75;61.4;59.0;2782;Premium
0.52;62.2;55.0;2783;Ideal
0.72;63.0;54.0;2784;Very Good
0.79;63.7;56.0;2784;Very Good
0.72;63.6;58.0;2787;Very Good
0.51;62.0;57.0;2787;Ideal
0.64;61.5;56.0;2787;Ideal
0.7;60.5;60.0;2788;Very Good
0.83;61.1;60.0;2788;Very Good
0.76;61.8;56.0;2788;Ideal
0.71;63.3;56.0;2788;Good
0.77;59.4;64.0;2788;Good
0.71;62.5;55.0;2788;Ideal
1.01;64.5;58.0;2788;Fair
1.01;62.7;59.0;2788;Premium
0.77;64.2;52.0;2789;Good
0.76;63.7;54.0;2789;Good
0.76;60.4;58.0;2789;Premium
0.76;61.8;58.0;2789;Premium
1.05;63.2;56.0;2789;Very Good
0.81;61.6;56.0;2789;Ideal
0.7;61.6;56.0;2789;Ideal
0.55;60.9;57.0;2789;Ideal
0.81;61.0;61.0;2789;Good
0.63;62.1;57.0;2789;Premium
0.63;60.9;60.0;2789;Premium
0.77;61.3;60.0;2789;Premium
1.05;65.8;59.0;2789;Fair
0.64;61.3;56.0;2790;Ideal
0.76;58.8;59.0;2790;Premium
0.83;62.3;55.0;2790;Ideal
0.71;60.1;62.0;2790;Premium
0.71;61.8;59.0;2790;Premium
0.87;63.6;55.8;2791;Very Good
0.73;62.2;56.0;2791;Ideal
0.71;59.2;59.0;2792;Premium
0.71;61.8;59.0;2792;Premium
0.71;61.3;55.0;2792;Ideal
0.7;62.1;60.0;2792;Premium
0.7;60.7;60.0;2792;Premium
0.76;59.6;57.0;2792;Premium
0.7;62.2;56.0;2792;Ideal
0.79;60.6;57.0;2793;Very Good
0.7;62.9;57.0;2793;Very Good
0.7;64.1;55.0;2793;Good
0.76;61.3;56.0;2793;Ideal
0.73;62.7;55.0;2793;Ideal
0.79;63.2;56.0;2794;Very Good
0.71;60.7;56.0;2795;Very Good
0.81;61.9;60.0;2795;Premium
0.81;62.6;55.0;2795;Ideal
0.72;60.7;60.0;2795;Good
0.72;62.0;60.0;2795;Premium
0.72;63.0;57.0;2795;Premium
0.81;58.0;59.0;2795;Premium
0.72;62.9;57.0;2795;Premium
1.0;58.2;60.0;2795;Premium
0.73;63.2;58.0;2796;Good
0.81;61.3;59.0;2797;Very Good
0.81;60.3;60.0;2797;Very Good
0.71;62.7;60.0;2797;Premium
0.71;61.3;58.0;2797;Premium
0.71;61.6;60.0;2797;Premium
0.57;61.9;55.0;2797;Ideal
0.51;61.7;56.0;2797;Ideal
0.72;61.9;58.0;2797;Ideal
0.74;61.8;58.0;2797;Ideal
0.74;61.6;56.0;2797;Ideal
0.7;58.8;66.0;2797;Fair
0.8;61.0;57.0;2797;Premium
1.01;67.4;60.0;2797;Fair
0.8;63.4;60.0;2797;Very Good
0.77;61.5;59.0;2798;Ideal
0.83;58.0;62.0;2799;Very Good
0.82;62.4;54.0;2799;Ideal
0.78;61.9;57.0;2799;Ideal
0.6;61.6;56.0;2800;Very Good
0.9;62.2;59.0;2800;Good
0.7;62.2;58.0;2800;Premium
0.9;61.3;56.0;2800;Very Good
0.83;62.3;57.0;2800;Ideal
0.83;61.8;57.0;2800;Ideal
0.83;62.5;59.0;2800;Very Good
0.74;62.9;60.0;2800;Premium
0.79;61.8;59.0;2800;Ideal
0.61;62.3;56.0;2800;Ideal
0.76;59.0;70.0;2800;Fair
0.96;60.7;55.0;2801;Ideal
0.73;62.5;55.0;2801;Ideal
0.73;62.7;58.0;2801;Premium
0.75;60.4;57.0;2801;Ideal
0.71;62.1;58.0;2801;Premium
0.71;57.8;60.0;2801;Good
0.71;63.8;58.0;2801;Good
0.71;62.8;57.0;2801;Premium
1.04;62.2;58.0;2801;Premium
1.0;62.3;58.0;2801;Premium
0.87;59.9;58.0;2802;Very Good
0.53;61.9;54.0;2802;Ideal
0.72;63.0;55.0;2802;Premium
0.72;62.4;58.0;2802;Premium
0.7;62.9;58.0;2803;Very Good
0.74;63.5;56.0;2803;Very Good
0.71;61.3;56.0;2803;Ideal
0.73;60.6;54.0;2803;Ideal
0.7;65.1;58.0;2803;Good
0.71;62.6;58.0;2803;Premium
0.71;58.0;62.0;2803;Premium
0.71;62.4;61.0;2803;Premium
0.77;61.3;57.0;2803;Premium
0.71;59.9;60.0;2803;Premium
0.78;60.8;58.0;2803;Premium
0.71;63.5;55.0;2803;Very Good
0.91;62.2;57.0;2803;Ideal
0.71;63.8;58.0;2804;Very Good
0.71;64.0;57.0;2804;Very Good
0.8;62.5;56.0;2804;Very Good
0.7;62.3;58.0;2804;Very Good
0.72;61.7;57.0;2804;Ideal
0.72;62.2;58.0;2804;Very Good
0.82;61.5;56.0;2804;Ideal
0.7;61.0;59.0;2804;Ideal
0.72;62.2;56.0;2804;Ideal
0.72;61.5;54.0;2804;Ideal
0.9;67.3;59.0;2804;Fair
0.74;61.7;58.0;2805;Premium
0.74;61.9;56.0;2805;Premium
0.73;61.8;58.0;2805;Ideal
0.57;58.7;66.0;2805;Fair
0.73;62.5;57.0;2805;Premium
0.72;62.8;56.0;2805;Ideal
0.74;61.1;68.0;2805;Fair
0.82;64.0;57.0;2805;Good
0.81;62.5;60.0;2806;Very Good
0.75;60.6;58.0;2806;Very Good
0.7;61.6;55.0;2806;Ideal
0.71;62.2;58.0;2807;Very Good
0.71;60.0;57.0;2807;Very Good
0.93;61.9;57.0;2807;Premium
0.8;62.8;57.0;2808;Very Good
0.7;62.0;57.0;2808;Very Good
1.0;66.4;59.0;2808;Fair
0.75;63.4;56.0;2808;Very Good
0.58;60.9;56.0;2808;Ideal
0.73;63.1;57.0;2808;Very Good
0.81;63.1;59.0;2809;Very Good
0.81;59.2;57.0;2809;Premium
0.71;60.7;54.0;2809;Premium
1.2;64.6;56.0;2809;Fair
0.7;61.8;56.0;2810;Very Good
0.7;59.9;60.0;2810;Very Good
0.74;61.7;55.0;2810;Ideal
0.7;62.8;61.0;2810;Good
0.8;62.7;57.0;2810;Good
0.75;63.4;58.0;2811;Very Good
0.83;63.5;54.0;2811;Very Good
1.0;65.7;59.0;2811;Fair
0.99;68.1;56.0;2811;Fair
0.7;63.0;60.0;2812;Very Good
0.7;59.5;58.0;2812;Very Good
0.7;63.5;59.0;2812;Good
0.7;61.7;58.0;2812;Very Good
0.32;62.7;58.0;554;Premium
0.32;62.8;58.0;554;Premium
0.32;62.4;57.0;554;Ideal
0.32;61.0;59.0;554;Premium
0.32;63.1;56.0;554;Very Good
0.32;60.7;57.0;554;Ideal
0.3;60.9;59.0;554;Premium
0.3;60.1;55.0;554;Premium
0.3;62.9;58.0;554;Premium
0.3;63.3;56.0;554;Very Good
0.3;63.8;55.0;554;Good
0.3;62.9;57.0;554;Ideal
0.3;63.4;60.0;554;Very Good
0.32;63.9;55.0;554;Good
0.33;61.4;56.0;554;Ideal
0.29;61.9;55.0;555;Very Good
0.29;62.4;55.0;555;Very Good
0.31;61.8;58.0;555;Very Good
0.34;61.5;56.0;555;Ideal
0.34;60.4;57.0;555;Ideal
0.34;61.8;55.0;555;Ideal
0.34;62.0;56.0;555;Ideal
0.3;62.3;56.0;555;Ideal
0.29;61.6;56.0;555;Ideal
0.35;60.6;56.0;555;Ideal
0.43;58.4;62.0;555;Very Good
0.32;61.4;58.0;556;Very Good
0.36;61.9;56.0;556;Ideal
0.3;62.0;56.0;556;Ideal
0.26;61.5;57.0;556;Ideal
0.7;62.3;58.0;2812;Very Good
0.7;60.9;61.0;2812;Very Good
0.71;62.4;57.0;2812;Ideal
0.99;55.0;61.0;2812;Fair
0.73;58.6;60.0;2812;Premium
0.51;62.0;57.0;2812;Ideal
0.91;59.8;58.0;2813;Premium
0.84;63.4;55.0;2813;Very Good
0.91;64.3;58.0;2813;Good
0.76;62.2;59.0;2814;Premium
0.76;61.7;57.0;2814;Ideal
0.75;61.1;59.0;2814;Premium
0.55;61.5;56.0;2815;Very Good
0.76;58.5;62.0;2815;Very Good
0.74;61.7;58.0;2815;Premium
0.7;60.4;56.0;2815;Ideal
0.7;61.4;56.0;2815;Ideal
0.7;61.5;55.0;2815;Ideal
0.7;61.4;56.0;2815;Ideal
0.9;65.0;56.0;2815;Fair
0.95;56.0;60.0;2815;Fair
0.89;60.2;59.0;2815;Premium
0.72;58.3;58.0;2815;Premium
0.96;53.1;63.0;2815;Fair
1.02;60.3;58.0;2815;Premium
0.78;61.4;56.0;2816;Very Good
0.61;60.1;57.0;2816;Ideal
0.71;63.4;55.0;2816;Good
0.78;61.5;59.0;2816;Premium
0.87;62.7;56.0;2816;Ideal
0.83;62.5;55.0;2816;Ideal
0.71;61.3;56.0;2817;Premium
0.71;60.2;56.0;2817;Ideal
0.71;62.7;57.0;2817;Ideal
0.71;62.3;58.0;2817;Premium
0.63;61.5;56.0;2817;Ideal
0.71;59.2;59.0;2817;Premium
0.71;61.8;59.0;2817;Premium
0.71;61.3;55.0;2817;Ideal
0.71;61.4;58.0;2817;Premium
0.9;62.8;55.0;2817;Ideal
0.71;62.8;64.0;2817;Good
0.7;62.4;61.0;2818;Premium
0.7;59.3;60.0;2818;Premium
0.7;63.0;60.0;2818;Premium
1.0;61.3;60.0;2818;Premium
0.86;59.3;62.0;2818;Premium
0.8;61.0;57.0;2818;Ideal
0.7;62.9;57.0;2818;Ideal
0.7;59.6;57.0;2818;Premium
0.7;61.8;60.0;2818;Premium
0.7;62.7;57.0;2818;Premium
1.0;65.3;62.0;2818;Fair
0.72;63.8;58.0;2819;Very Good
0.72;62.3;56.0;2819;Ideal
0.7;59.7;63.0;2819;Good
0.86;64.3;60.0;2819;Good
0.71;62.9;58.0;2820;Ideal
0.75;62.0;57.0;2821;Ideal
0.73;61.6;59.0;2821;Premium
0.53;61.9;55.0;2821;Ideal
0.73;61.3;58.0;2821;Premium
0.73;63.6;57.0;2821;Good
0.73;59.6;61.0;2821;Premium
0.73;62.2;59.0;2821;Premium
0.73;61.7;55.0;2821;Premium
0.73;63.2;58.0;2821;Very Good
0.7;60.8;60.0;2822;Premium
0.72;60.3;59.0;2822;Premium
0.72;60.9;60.0;2822;Premium
0.72;62.4;59.0;2822;Premium
0.7;60.2;60.0;2822;Premium
0.6;62.0;55.0;2822;Ideal
0.74;60.8;57.0;2822;Ideal
0.73;62.1;55.0;2822;Ideal
0.71;62.7;60.0;2822;Premium
0.71;61.3;58.0;2822;Premium
0.7;60.2;60.0;2822;Premium
0.7;60.7;56.0;2822;Ideal
0.9;64.0;61.0;2822;Good
0.71;60.2;56.0;2822;Ideal
0.7;61.5;59.0;2822;Premium
0.7;62.6;56.0;2822;Premium
0.7;59.7;58.0;2822;Ideal
0.7;61.4;64.0;2822;Good
0.7;62.5;57.0;2822;Ideal
0.7;61.8;56.0;2822;Ideal
0.7;60.7;62.0;2822;Premium
0.7;60.6;58.0;2822;Premium
0.7;61.4;54.0;2822;Ideal
0.79;62.8;59.0;2823;Very Good
0.9;63.8;57.0;2823;Good
0.71;62.3;58.0;2823;Premium
0.61;61.3;54.0;2823;Ideal
0.9;65.8;54.0;2823;Fair
0.71;60.5;56.0;2823;Ideal
0.71;61.2;59.0;2824;Premium
0.77;62.1;57.0;2824;Ideal
0.74;63.1;58.0;2824;Good
0.82;62.4;54.0;2824;Ideal
0.82;60.8;60.0;2824;Premium
0.71;62.2;59.0;2825;Premium
0.83;60.0;59.0;2825;Premium
0.73;62.0;57.0;2825;Very Good
0.83;62.5;59.0;2825;Premium
1.17;60.2;61.0;2825;Premium
0.91;61.3;67.0;2825;Fair
0.73;62.6;60.0;2826;Premium
0.7;57.2;59.0;2826;Good
0.9;62.2;59.0;2826;Premium
0.7;62.2;58.0;2826;Premium
0.7;63.3;56.0;2826;Very Good
0.7;59.4;61.0;2826;Premium
0.9;63.5;56.0;2826;Very Good
0.78;60.8;60.0;2826;Premium
0.96;60.7;55.0;2826;Ideal
0.7;62.3;59.0;2827;Very Good
0.72;64.0;54.0;2827;Good
0.79;62.6;58.0;2827;Premium
0.7;61.6;57.0;2827;Ideal
0.7;62.3;55.0;2827;Ideal
0.7;60.6;57.0;2828;Ideal
1.01;61.6;61.0;2828;Premium
0.72;62.2;58.0;2829;Premium
0.8;63.7;54.0;2829;Good
0.59;62.0;56.0;2829;Ideal
0.72;61.7;57.0;2829;Ideal
0.75;61.9;57.0;2829;Premium
0.8;60.2;57.0;2829;Premium
0.71;62.7;59.0;2830;Very Good
0.77;61.7;56.0;2830;Very Good
0.97;60.7;56.0;2830;Ideal
0.53;60.9;57.0;2830;Ideal
0.53;61.8;57.0;2830;Ideal
0.8;62.1;54.4;2830;Ideal
0.9;60.6;62.0;2830;Premium
0.76;60.8;60.0;2831;Very Good
0.72;62.3;57.0;2831;Ideal
0.75;61.4;57.0;2831;Ideal
0.72;62.1;58.0;2831;Premium
0.79;61.8;56.0;2831;Ideal
0.72;62.5;58.0;2832;Very Good
0.91;62.8;61.0;2832;Very Good
0.71;62.1;57.0;2832;Premium
0.81;63.0;60.0;2832;Premium
0.82;62.5;57.0;2832;Ideal
0.71;62.2;58.0;2832;Premium
0.9;64.3;63.0;2832;Good
0.8;62.0;58.0;2833;Very Good
0.56;61.0;59.0;2833;Very Good
0.7;59.6;61.0;2833;Very Good
0.7;61.0;57.0;2833;Ideal
0.61;61.7;55.0;2833;Ideal
0.85;62.5;57.0;2833;Ideal
0.7;60.7;57.0;2833;Ideal
0.8;62.2;56.0;2834;Ideal
0.8;62.8;57.0;2834;Ideal
0.51;59.9;58.0;2834;Very Good
0.53;61.4;57.0;2834;Ideal
0.78;61.8;55.0;2834;Ideal
0.9;63.4;54.0;2834;Very Good
0.9;65.3;59.0;2834;Fair
0.77;60.7;55.0;2834;Ideal
0.73;61.2;56.0;2835;Ideal
0.63;61.9;57.0;2835;Ideal
0.7;61.5;54.0;2835;Ideal
0.72;62.8;57.0;2835;Ideal
0.72;61.0;57.0;2835;Ideal
0.75;59.6;59.0;2835;Premium
0.82;60.7;56.0;2836;Very Good
0.71;62.8;60.0;2836;Good
0.7;62.6;59.0;2837;Premium
0.7;61.8;56.0;2837;Ideal
0.71;59.8;53.0;2838;Ideal
0.76;60.9;55.0;2838;Very Good
0.82;64.9;58.0;2838;Fair
0.72;58.8;60.0;2838;Premium
0.7;62.3;58.0;2838;Premium
0.7;61.7;58.0;2838;Premium
0.7;62.6;55.0;2838;Premium
0.7;59.4;61.0;2838;Premium
0.7;63.5;59.0;2838;Very Good
0.7;60.9;61.0;2838;Premium
0.7;59.5;58.0;2838;Premium
0.7;63.0;60.0;2838;Premium
0.74;60.0;57.0;2839;Very Good
0.71;61.5;57.0;2839;Ideal
0.7;61.6;54.0;2839;Ideal
0.71;62.1;55.0;2839;Ideal
0.71;59.1;61.0;2839;Premium
0.71;59.0;60.0;2839;Premium
0.71;60.5;58.0;2839;Premium
0.7;62.4;53.0;2839;Ideal
0.73;61.8;54.0;2839;Ideal
0.7;62.1;54.0;2839;Ideal
0.7;61.3;57.0;2839;Ideal
0.71;60.3;58.0;2839;Premium
0.71;59.2;58.0;2839;Premium
0.79;59.3;62.0;2839;Premium
0.71;62.7;59.0;2839;Premium
0.77;61.0;60.0;2840;Very Good
0.75;59.8;56.0;2840;Very Good
0.7;61.0;56.0;2840;Ideal
0.71;59.3;56.0;2840;Premium
0.92;61.9;56.0;2840;Ideal
0.83;61.4;59.0;2840;Premium
0.7;59.2;60.0;2840;Premium
0.73;60.3;59.0;2841;Premium
0.71;63.4;55.0;2841;Very Good
0.73;63.9;57.0;2841;Very Good
0.82;61.7;53.0;2841;Ideal
0.82;62.3;56.0;2841;Ideal
0.82;59.7;57.0;2841;Very Good
0.52;61.2;56.0;2841;Ideal
1.0;58.9;60.0;2841;Premium
0.95;66.7;56.0;2841;Fair
0.73;61.4;57.0;2841;Ideal
0.73;59.9;59.0;2841;Premium
0.73;61.4;58.0;2841;Premium
0.8;62.6;54.0;2842;Ideal
0.7;58.7;61.0;2842;Premium
0.7;60.2;62.0;2843;Very Good
0.7;62.7;58.0;2843;Very Good
0.71;59.4;58.0;2843;Very Good
0.81;63.2;58.0;2843;Very Good
0.71;61.5;58.0;2843;Very Good
0.73;61.3;57.0;2843;Ideal
0.73;61.8;59.0;2843;Very Good
0.72;62.0;57.0;2843;Ideal
0.81;62.1;57.0;2843;Ideal
0.71;60.7;57.0;2843;Ideal
0.73;57.7;61.0;2844;Very Good
0.7;62.0;59.0;2844;Very Good
1.01;61.5;57.0;2844;Ideal
1.01;63.1;57.0;2844;Good
0.79;62.5;57.0;2844;Ideal
0.7;61.8;59.0;2845;Very Good
0.7;58.9;60.0;2845;Very Good
0.8;63.4;60.0;2845;Good
1.27;59.3;61.0;2845;Premium
0.79;61.5;56.0;2846;Ideal
0.72;60.2;59.0;2846;Very Good
0.73;61.6;56.0;2846;Ideal
1.01;65.4;59.0;2846;Fair
1.01;64.2;61.0;2846;Good
0.73;59.1;59.0;2846;Ideal
0.7;61.6;57.0;2846;Ideal
0.7;59.1;61.0;2846;Good
0.77;62.9;59.0;2846;Premium
0.77;61.3;60.0;2846;Premium
0.77;61.4;58.0;2846;Premium
0.84;61.2;57.0;2847;Very Good
0.72;60.3;57.0;2847;Ideal
0.76;61.1;59.0;2847;Premium
0.7;62.9;59.0;2848;Very Good
0.54;61.5;55.0;2848;Ideal
0.75;64.6;57.0;2848;Fair
0.79;64.1;54.0;2849;Good
0.74;63.1;58.0;2849;Very Good
0.7;61.0;60.0;2850;Very Good
0.7;60.8;59.0;2850;Ideal
0.75;61.5;56.0;2850;Ideal
1.2;63.1;60.0;2850;Very Good
0.8;63.4;57.0;2851;Very Good
0.66;62.1;56.0;2851;Ideal
0.87;61.0;63.0;2851;Very Good
0.86;62.7;59.0;2851;Premium
0.74;61.0;57.0;2851;Ideal
0.58;60.6;59.0;2852;Very Good
0.78;61.5;57.0;2852;Ideal
0.74;61.3;55.0;2852;Ideal
0.73;62.7;55.0;2852;Ideal
0.91;63.5;57.0;2852;Very Good
0.71;62.6;58.0;2853;Premium
0.71;63.5;55.0;2853;Good
0.79;62.8;57.0;2853;Ideal
0.79;60.0;60.0;2853;Premium
0.71;62.7;58.0;2853;Premium
0.82;61.9;58.0;2853;Premium
0.78;61.9;57.1;2854;Very Good
0.7;62.4;56.0;2854;Very Good
1.12;59.1;61.0;2854;Premium
0.73;62.0;57.0;2854;Premium
0.91;64.4;62.0;2854;Fair
0.91;65.4;60.0;2854;Fair
0.91;64.2;58.0;2854;Good
0.91;65.8;58.0;2854;Fair
0.7;58.4;59.0;2854;Premium
0.68;61.7;57.0;2854;Premium
0.73;62.5;57.0;2855;Very Good
1.03;63.6;57.0;2855;Good
0.74;62.4;57.0;2855;Premium
0.98;53.3;67.0;2855;Fair
1.02;53.0;63.0;2856;Fair
1.0;67.8;61.0;2856;Fair
1.02;61.6;55.0;2856;Ideal
0.6;60.8;57.0;2856;Ideal
0.8;61.6;56.0;2856;Ideal
0.97;60.7;56.0;2856;Ideal
1.0;67.9;62.0;2856;Fair
0.26;62.3;57.0;556;Ideal
0.26;62.1;56.0;556;Ideal
0.36;61.9;55.0;556;Ideal
0.34;57.5;61.0;556;Good
